City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
463,Amursk,RU,50.2261,136.8994,13.59,88,100,12.15,light snow
464,Tianpeng,CN,30.9866,103.9393,55.87,59,79,3.91,broken clouds
465,Lawrenceburg,US,38.0373,-84.8966,52.27,45,0,6.91,clear sky
466,Gazli,UZ,40.1333,63.45,71.47,25,100,21.83,overcast clouds
467,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,40,10.36,scattered clouds
468,Gumdag,TM,39.2061,54.5906,53.85,62,63,17.02,broken clouds
469,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,94,75,3.33,broken clouds
470,Kushiro,JP,42.975,144.3747,23.22,92,30,5.46,scattered clouds
471,Inirida,CO,3.8653,-67.9239,75.0,96,99,3.65,overcast clouds
472,Dali,CN,25.7,100.1833,47.57,45,0,5.39,clear sky
473,Vila Do Maio,CV,15.1333,-23.2167,79.59,76,0,19.48,clear sky
474,Clyde River,CA,70.4692,-68.5914,7.03,85,100,9.22,overcast clouds
475,Ushtobe,KZ,45.2514,77.9838,44.78,80,100,11.52,overcast clouds
476,Kavieng,PG,-2.5744,150.7967,81.28,82,94,14.99,moderate rain
477,Kamenka,RU,51.3223,42.7678,31.75,98,100,10.96,light snow
478,San Isidro,PE,-12.1167,-77.05,81.25,64,0,6.91,clear sky
479,Victor Harbor,AU,-35.5667,138.6167,66.29,87,32,17.4,light rain
480,Mwinilunga,ZM,-11.7358,24.4293,66.96,87,97,0.58,light rain
481,Sorland,NO,67.667,12.6934,35.67,82,100,31.16,light rain
482,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,10.36,clear sky
483,Genhe,CN,50.7833,121.5167,3.2,97,94,4.79,overcast clouds
484,Porto Santo,PT,33.072,-16.3415,62.98,55,20,12.66,few clouds
485,Honiara,SB,-9.4333,159.95,79.2,86,65,2.39,broken clouds
486,Lebyazhye,RU,55.2689,66.4947,11.01,98,72,4.12,broken clouds
487,Vinni,EE,59.2958,26.4322,20.75,89,8,5.5,clear sky
488,Titlagarh,IN,20.3,83.15,78.37,24,62,4.16,broken clouds
489,Davlekanovo,RU,54.2215,55.0343,15.82,98,100,3.85,overcast clouds
490,Parrsboro,CA,45.4001,-64.332,15.42,59,47,23.0,scattered clouds
491,Lakhnadon,IN,22.6,79.6,75.18,25,22,5.26,few clouds
492,Chuy,UY,-33.6971,-53.4616,85.51,50,2,6.98,clear sky
493,Isangel,VU,-19.55,169.2667,78.31,82,86,5.12,overcast clouds
494,Lookan,PH,5.037,120.1027,80.33,80,89,3.29,overcast clouds
495,Wanaka,NZ,-44.7,169.15,57.11,81,56,3.02,broken clouds
496,Mbaiki,CF,3.8678,17.9892,82.6,51,60,1.19,broken clouds
497,Kesinga,IN,20.2,83.2333,78.84,27,63,4.97,broken clouds
498,Biltine,TD,14.5333,20.9167,93.33,12,24,4.14,few clouds
499,Yuci,CN,37.6803,112.7319,35.35,21,0,4.47,clear sky
500,Chifeng,CN,42.2683,118.9636,20.25,33,1,21.77,clear sky
501,Okhotsk,RU,59.3833,143.3,1.74,87,98,9.95,overcast clouds
502,Semey,KZ,50.4111,80.2275,23.83,92,100,6.8,overcast clouds
503,Sapouy,BF,11.5544,-1.7736,99.64,10,15,7.11,few clouds
504,Orocue,CO,4.7912,-71.3354,91.8,44,78,5.03,broken clouds
505,Dhidhdhoo,MV,6.8833,73.1,82.71,66,88,6.91,overcast clouds
506,Provost,CA,52.3501,-110.2683,11.25,93,100,6.76,light snow
507,Porto Torres,IT,40.835,8.3972,57.38,82,28,9.44,scattered clouds
508,Lerwick,GB,60.1545,-1.1494,41.0,90,100,3.11,overcast clouds
509,Clermont,FR,49.5,2.4167,53.31,80,100,0.72,overcast clouds
510,Gotsu,JP,35.0,132.2167,43.56,77,50,8.66,scattered clouds
511,North Bend,US,43.4065,-124.2243,42.87,100,100,0.0,mist
512,Naze,JP,28.3667,129.4833,59.47,89,99,13.82,overcast clouds
513,Raudeberg,NO,61.9875,5.1352,43.2,68,100,23.91,overcast clouds
514,Costa Rica,BR,-23.4167,-54.65,89.38,48,10,5.21,clear sky
515,Jizan,SA,17.3333,42.6667,81.54,63,12,4.97,few clouds
516,Monrovia,LR,6.3005,-10.7969,85.77,72,55,10.56,broken clouds
517,Katsuura,JP,35.1333,140.3,46.51,74,100,11.63,overcast clouds
518,Bonavista,CA,48.6499,-53.1147,24.12,57,90,21.43,overcast clouds
519,Bar Harbor,US,44.3876,-68.2039,21.34,43,0,13.0,clear sky
520,Ahipara,NZ,-35.1667,173.1667,61.32,86,93,7.09,overcast clouds
521,Sobolevo,RU,54.4299,31.8996,29.89,90,100,11.74,overcast clouds
522,Ossora,RU,59.2353,163.0719,-0.11,91,60,7.11,broken clouds
523,San Quintin,MX,30.4833,-115.95,59.29,71,29,16.08,scattered clouds
524,Mount Pleasant,US,32.7941,-79.8626,66.0,65,100,16.11,haze
525,Hazorasp,UZ,41.3194,61.0742,60.64,34,100,27.13,overcast clouds
526,Verkhneyarkeyevo,RU,55.4505,54.3145,16.59,98,100,3.74,overcast clouds
527,Doha,QA,25.2867,51.5333,77.31,70,0,9.22,clear sky
