City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Iquique,CL,78.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
370,Kieta,PG,79.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
371,Wanlaweyn,SO,80.83,broken clouds,2.6185,44.8938,GAASHAAN HOME
376,Magdalena,PH,79.92,few clouds,14.1999,121.429,Samparada & Gestiada Residences
378,Santa Rosa,PH,80.58,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
382,Kathu,TH,82.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
386,Cidreira,BR,81.0,clear sky,-30.1811,-50.2056,Hotel Castelo
395,Santa Catalina,PH,77.85,scattered clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
396,Kampong Chhnang,KH,84.04,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
402,Padang,ID,78.85,very heavy rain,-0.9492,100.3543,Mercure Padang
410,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
411,Grand Gaube,MU,81.37,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
413,Port Blair,IN,81.14,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
415,Charters Towers,AU,77.58,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
416,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
418,Auki,SB,77.0,scattered clouds,-8.7676,160.7034,Auki Motel
420,Badin,PK,79.41,clear sky,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
421,Nautla,MX,76.33,few clouds,20.2167,-96.7833,Casa Blanca
423,Florianopolis,BR,85.23,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
428,Nizwa,OM,77.72,few clouds,22.9333,57.5333,Orient Apartments
430,Vangaindrano,MG,77.11,clear sky,-23.35,47.6,Hotel Fanilo
431,Ovalle,CL,82.08,scattered clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
432,Aldama,MX,77.81,few clouds,22.9167,-98.0667,CASA CANYE
434,Morrope,PE,84.31,scattered clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
439,Maragogi,BR,84.81,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
441,Nilanga,IN,84.6,broken clouds,18.1,76.7667,Shruti nilanga rice and vada pav and tea centre
447,Sibolga,ID,76.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
448,Soyo,AO,82.45,light rain,-6.1349,12.3689,Hotel Mpampa
454,Yellapur,IN,83.53,scattered clouds,14.9667,74.7167,Hotel Sambhram & Lodge
455,Omboue,GA,77.56,light rain,-1.5746,9.2618,Hotel Olako
460,Palu,ID,76.64,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
462,Lom Sak,TH,85.15,few clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
