City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-03-02 14:53:08,-38.0023,-57.5575,79.09,54,0,25.32
68,Mareeba,AU,2022-03-02 14:53:09,-17.0,145.4333,74.12,90,83,1.57
69,Saint-Philippe,RE,2022-03-02 14:53:09,-21.3585,55.7679,81.99,86,96,5.99
70,Hilo,US,2022-03-02 14:51:38,19.7297,-155.09,71.33,78,100,4.61
71,Tiksi,RU,2022-03-02 14:47:32,71.6872,128.8694,-22.22,100,94,2.39
72,Matamoros,MX,2022-03-02 14:53:10,25.5333,-103.25,60.6,38,100,0.92
73,Varhaug,NO,2022-03-02 14:53:10,58.6147,5.6457,47.75,84,67,10.25
74,Husavik,IS,2022-03-02 14:48:54,66.0449,-17.3389,40.91,82,100,25.52
75,Rincon,US,2022-03-02 14:50:40,32.296,-81.2354,63.95,55,0,1.01
76,Clovis,US,2022-03-02 14:53:11,36.8252,-119.7029,61.68,76,0,5.75
77,Zhigansk,RU,2022-03-02 14:53:11,66.7697,123.3711,-26.09,100,100,2.04
78,Port Alfred,ZA,2022-03-02 14:53:12,-33.5906,26.891,75.24,77,27,17.36
79,Deputatskiy,RU,2022-03-02 14:53:13,69.3,139.9,-25.8,100,94,2.19
80,Albany,US,2022-03-02 14:49:24,42.6001,-73.9662,35.55,64,62,1.99
81,Port Blair,IN,2022-03-02 14:53:13,11.6667,92.75,82.44,78,40,4.61
82,East London,ZA,2022-03-02 14:48:53,-33.0153,27.9116,81.39,73,2,12.8
83,Sidney,AU,2022-03-02 14:50:44,-33.8679,151.2073,71.11,92,75,19.57
84,Nanortalik,GL,2022-03-02 14:53:14,60.1432,-45.2371,22.84,90,100,24.54
85,Doliana,GR,2022-03-02 14:53:15,39.9032,20.5794,48.96,57,87,5.75
86,Otane,NZ,2022-03-02 14:50:06,-39.8833,176.6333,55.0,76,92,3.18
87,Krasnoselkup,RU,2022-03-02 14:48:46,65.7,82.4667,-9.87,97,66,10.71
